IN ORDER OF DRAWING (HIGHER UP == DRAW FIRST)

TOTAL SIZE == 350 x 350




PLAYER


BLACK
---------
144,38
148, 30
155, 27
162, 30
166, 38
162, 46
159, 48
151, 48
147, 46

109, 88
111, 83
116, 80
119, 71
128, 59
136, 53
149, 49
165, 49
176, 53
184, 59
194, 71
197, 80
202, 83
204, 88
202, 92
199, 95
204, 104
209, 118
209, 126
206, 131
199, 135
191, 136
191, 243
175, 243
218, 287
240, 281
246, 288
216, 316
141, 243
122, 243
122, 136
119, 135
119, 95
114, 94
111, 92

RED
-------
5, 155
35, 160
30, 188
0, 180

50, 160
74, 145
88, 166
66, 180

95, 142
118, 136
118, 133
133, 133
133, 163
118, 163
102, 166

150, 133
163, 133
163, 163
150, 163

179, 133
194, 133
194, 163
179, 163

206, 109
237, 121
209, 128

WHITE
------
119, 80
124, 68
130, 61
143, 53
153, 51
161, 51
175, 56
188, 68
194, 80

154, 96
197, 96
205, 113
207, 120
207, 125
204, 130
198, 133
188, 133
188, 240
125, 240
125, 133
154, 133

BLACK
-----
172, 112
174, 107
179, 105
184, 107
187, 112
185, 117
179, 119
174, 117
